1	tigrinya	ብዛዕባኡ ፡ ንዓባየይ ክገልጸላ ሞ ፍታሕ ክትረኽበለይ ያ ኢለ ብምግማት ድማ ተወከስኩዋ ።
2	geez	እስመ እምአርእስተ አድባር እሬእዮ ወእምነ አውግር እሌብዎ ናሁ ሕዝብ ዘባሕቲቱ የኀድር ወኢይትኌለቍ ውስተ አሕዛብ ።
3	tigrinya	ብኣርባዕተ ለካቲት ድማ ምስ ዝኾኑ ተጋደልቲ ክ ሰራዊት ኣብ ኣፍዓበት ዕለተ መርዕኦም ጸንቢሎም ።
4	tigre	እብሊ ሰበብ ሓለትለ እም ምን ቅሩብ እግል ትታበዕ ደሩሪ ገብእ ።
5	tigre	እማት እሰልፍ ምነ መጅተመዕ እግል ልወርክያነ ቅሩብ ዐለየ ፡ አዜ ላኪን ዝያደትነ ወአክልነ ፈሀመያሁ ።
6	blin	ገለዋና ቍልቍሉት ኒል ከትከተናዅ ፣ አሸስ ኒል ደቈሰናዅ ፣ ብርኵተረስ ኒል ረጨቐናዅ ፣ ኒሰና ኽር ላዶንትክ ግድጝሲ ኒል ሸብ ጅእ ሰናዅዲ አሪዅዲትል ነፍዓኵ ።
7	tigre	እት አመት ለየዐለ ተየልል እት መስለሐትከ ለተአአውዕል እበ ገበይ ተ ።
8	tigre	ብዝሓም ተብዕን እት ካልእ አካን ዕያል እት ቦም እንዴ ሰትረው ምነን ክም ቀሩበን ወክም መደው ረአሶም ክም ሸርቦ ፡ እንዴ ወልደው እተን ለኢሸርፎ ፡ እንዴ ወልደው እተን ለልትበረው ሀለው ።
9	geez	እግዚአብሔር ምእመና ለሕይወትየ ምንትኑ ያደነግፀኒ ።
10	blin	ናው ይኸ ዕኮሩ ቈንሸል ናትክ እንኵልኵልኑዅ እማ መርሲ ለኸስ ሀልሀልሲነ ሻክስኖኻ ፣
11	tigre	ለዐቢ እብ ንኢሸቶ ሰበት ልትአንበት ላኪን አዜ ነአነብቶ ሀሌነ ።
12	tigrinya	እዞም ዝተጠቕሱ ቡቕልታት ፡ ንጕልሒንጣ ይገትኡ ፡ ናይትሮጅን ካብ ሃዋሁ ብምውሳድ ድማ ብሰራውሮም ኣብቲ ግራት ከም ዝስረት ይገብሩ ።
13	amharic	ሽግግሩ የተሳለጠ እንዲሆን መዘጋጀት አለብን ።
14	tigre	ለእግል ንብጽሑ እለ እግል ኖሰ ቅወት ተ ።
15	tigre	ምን መልህያሙ አስክ ልትለአክ እቱ እግል ልትጸበርቱ ።
16	tigre	ግብለት ሶዳን እግል ትትፈንቴ እቡ ለትቀድር ለገብአ ልግባእ ሰበብ መቅቡል ኢዐለ ።
17	geez	ወይቤሎሙ ሴኬም ለአቡሃ ወለአኀዊሃ ረከብኩ ጸጋ በቅድሜክሙ ወኵሎ ዘትብሉ እሁብ ።
18	tigrinya	እዛ ጋንታ ድሕሪ ለካቲት ንክሪስታል ፓላስ ምስዓራ ክሳብ ሕጂ ኣብ ኦልድ ትራፎርድ ዓወት ዝበሃል ክሕረማ ምኽኣሉ ካልእ ዘየቕስን ጉዳያ ኮይኑ ሎ ።
19	tigrinya	ጀጋኑ ተጋደልቲ ምስ ሰራዊት ጸላኢ ገጢሞም ፡ ይስዕሩዎ ነይሮም ።
20	tigrinya	ምስ ኰነ ኸኣ ፡ ንሓጺር እዋን ኣዕሪፉ ፡ ናብ ብጾቱ ከብጽሖ ዝኽእል ዓቕሚ ክረክብ ተተስፈወ ።
21	blin	ነን ብጅኻነስክ ሰላዲ ሻውዲ ርኩያንዲ ኣኽኖ አርቶሎም ስዳዋዅ ኣኽላ ።
22	tigrinya	ድሕሪ ናጽነት ስም ክለቡ ኣልታሕሪር ምስ ተቐየረ ፣ ሞጀ ናይታ ክለብ ተጻዋታይ ኮይኑ ውድድሩ ቀጺሉ ።
23	blin	ኵሹትል ኵ ና ብና እካዅርናር ወራት ጠለቅና
24	amharic	ጋላቢው ከፈረሱ ከተወረወረ ነገር ግን አንድ እግር በእርካቡ ከተያዘ ፈረሱ በሚሮጥበት ጊዜ ሊጎተቱ ይችላሉ ። አደጋን ለመቀነስ ብዙ የደኅንነት ቅድመ ጥንቃቄዎች መወሰድ አለባቸው ።
25	tigre	አምሳላት እንግሊዝ ወተርጀመቱ በዐል አመል አመሉ ኢለሐድግ ወደብር አካኑ ።
26	tigre	ልስዔ ወለአለምቤ ወእማነት ልተሌ ፡ ሐሰት ወቅሽሽ ለአቤ ክምሰል ረአዩ እሊመ ሰኒ አትሐመደዩ ።
27	tigre	እሊ ህዬ ዕላመት አው እሻረት ድካንቱ ።
28	blin	ሰ ለበከዲ ፡ ሓንጎልዲር ዓዱር
29	amharic	ብሎ መጠየቅ በእውነቱ ዘበት ።
30	geez	ወኖሎተ እንስሳ እሙንቱ ሰብእ ወኵሉ ንዋዮሙኒ ወላህሞሙኒ አምጽኡ ።
31	amharic	፡ በመብራት ምክንያት ሺህ ብር የከሰረዉ አርቲስት ታምሩ ብርሀኑ ።
32	geez	ወሣልስ ጾታ ዘለጊርዮን ወአቃጥስ ወአሜቲሶጥስ ።
33	blin	እን ወዓጋ ጀጉረስ ኣረሙኒል ታዊህ ኣኽላ ዮ ኒድ ከሰሳዅሉ ጋርኻ ፡ እን ገመና ፡
34	tigrinya	ምስ ገዛእ ርእስና ርክብ ክንፈጥር ዕድል ከነርሑ ይግባእ ።
35	tigre	ለስታት ለአፍገረዉ እብ ሀይኮታ ወኬሩ እንዴ ከርደናሁ ፡ እብ ሰለስ እትጀህ እግል ሓምድ ሃጀሞት ቱ ለዐለ ።
36	tigre	ሆላንዲዪን መ እትለ ትልህየ ሕሙም እንዴ ዐለ ለትከረ ሙሃጂሞም ቫ ን ፐርሲ ምንመ ጀረበው ኢተዓወተው ።
37	tigrinya	ሃይ ዓባይ ስልምቲ ነዚኣ ተንብብላ ግዜ ካብዛ ሕጂ ዘላ ስልምቲ ዝሓሸት ፡ ዝበርተዐት ፡ ኵሉ እትኽእል ፡ ከም ባህታኣ እትኸዉን ፡ ነጻነት ዘሎዋን እተሓጐሰትን ክትኰኒ እምነ ።
38	amharic	ከተያዘ ደግሞ ስምምነት እንዲያደርግ ወይም በጦርነት ያለመፈላለግ ቃል ኪዳን እንዲገባ ይገደዳል ።
39	amharic	ከልባቸው ቢታረቁ ደግሞ የአባት ነው
40	amharic	ኃላፊው ወረዳዎቹ ከሶማሌ ክልል ጋር ባይዋሰኑም እንኳ ድንበር የሚሻገሩ ታጣቂዎች ጥቃት ሲፈፅሙ ቆይተዋል ሲሉ ይከሳሉ ።
41	blin	ደምበሪ ኳራ ኰዶ ወካ ድዃሪል እንቱዅ ።
42	geez	ወኢትፍቶ ብእሲተ ካልእከ ወኢትፍቶ ቤቶ ለካልእከ ወኢገራህቶ ወኢገብሮ ወኢአመቶ ወኢላህሞ ወኢአድጎ ወኢእምኵሉ እንስሳሁ ወኢእምኵሉ ዘቦቱ ካልእከ ።
43	blin	ደአም በንደ ልኺ ይስተ ሰና ፡ ቈንሸላ ኣን ስኻ ቋኩን ግራ ፣ ቃሪፍ ከደኑ ላት ቍንን ይሊካ ይሮ ጋብረ እርግቲ ።
44	tigrinya	ሓይልና ኣብ ሰጥ ዝበለ ጎልጎል ፡ መኸወልን መጸግዕን ኣብ ዘይብሉ ጎላጉል ሸባሕ ንመጥቃዕቲ ተዳለወት ።
45	geez	ወደንገፀኒ ልብየ በላዕሌየ ፤ ወመጽአኒ ድንጋፄ ሞት ።
46	geez	እስመ አንተ ታብርህ ማኅቶትየ እግዚኦ አምላኪየ ያበርህ ጽልመትየ ።
47	tigre	ረእሱ ወረአስ ስብኡ ለሀ ሌ እት ልብል ልድሕር ።
48	amharic	የትራምፕ እርምጃ የሰላም ድርድሩን ውጤት በተስፋ ሲጠባበቁ የነበሩ ፍልስጤማውያንን አሳዝኗል ።
49	tigrinya	ክብ ኢሉ ምስ ዝተገለጸ ርዝነት መርዓ ብዝዳረግ ፡ መንግስቲ ኣብ ምምስራትን ምሕደራን ስድራቤታት ረብሓ ስለ ዘለዎ መሰረታውያን ንዝዀኑ ዝምድናታት ኣባላት ስድራቤት ዝቕይዱ ብሃገራውያን ሕግታት ኣቢሉ ኣገደድቲ መምርሒታት የውጽእ ።
50	tigre	ሐምስ አምዕል እንዴ ደረስነ ክልኤ አምዕል ዶል ነዓርፍ ፡ ለክልኤ ለአምዕል ህተን በዝሐ እንዴ ገብአየ ልትሰምዓኒ ።
51	tigre	ላመ ውላድ ሕርየት ፡ ሸምዐት ረህየት እንዴ ጸብጠው አሰርለ ሐልፈው አበዎም ወሐዎም ትበገሰው ።
52	geez	ወኢያድልዉ ለገጽ ወኢይንሥኡ ሕልያነ እስመ ሕልያን ያዐውሮሙ ለጠቢባን ወያሴስሎ ለቃለ ጽድቅ ።
53	amharic	ለፈገግታ እናት ገበያ ውለው ሲመለሱ ጠረንጴዛ ላይ ብር አስቀምጠው ይወጣሉ ፡ ልጅ ሲገባ ብሩን ያገኘውና አንስቶ ይወጣል ፡ ከዛም እናት ወደ ውስጥ እንደገቡ ።
54	amharic	ተማሪዎች ምርምር ላ ።
55	blin	ስእሊራ ክቱብል ደምቢረድ ህምባዅ ላዓንቂ ብሊና ፡ ላንኪት ገደልስሮ ህምብ ረሪ ፣ ጥልያን ሕክም ሁመትሊ ፣ ዲሲ ሰአልስራዅ ግን ።
56	blin	እን ቍራኽር ድዃራ ግን ፤ እን ዓንቂ ይነሪ ኒጕርበት ፈርደሪኽር ድዃራ ግን ።
57	amharic	ጓቲማላ ውስጥ ለአምስት ዓመት አብረናቸው ያገለገልነው ውድ ጓደኞቻችን ወንድምና እህት ቢቭንስ ወደዚህ አዲስ ምድብ ከተዛወሩት መካከል ነበሩ ።
58	blin	ታሚተጋ ኣካናትሊ ድኳ ጨገም እንገት መንደርትሮ ገረሶ ዋነት ሓበረኵ ።
59	amharic	የአኝዋክ ስደተኞች በጎሮም መጠለያ ጣቢያ ራድዮ ለርስዎ የምናቀርበውን አገልግሎታችንን ለማሻሻል በማሰብ ኩኪዎችን እንጠቀማለን ።
60	tigrinya	ፋኑኤል ሽዑ ዉን ክምልስ ዓቐብ ኰኖ ።
61	tigre	መዕሉመት እት ክል ክልኦት ብልዮን ነፈር ዎሮት ነፈር ሌጣ ቱ ዕምሩ አስክ ሰነት እግል ልብጸሕ በክት ለቡ ።
62	tigrinya	እዚ ሕጂ በጺሐዮ ዘለኹ ኣብቲ ሽዕኡ እዋን ኰይነ እሪኦ ነይረ የ ።
63	tigrinya	ኣውራ ኸኣ ፡ ኣብ ግዜ ለይቲ እቲ ኸልቢ ኻብ ገለ ኵርናዕ ድምጺ ቓንዛ ዝመስል መቓልሕ ስለ ዘጋውሕ ኣባላት ስድራ እናተራገሙ ይሰሃሉዎ ።
64	geez	ወይሡዑ ሎቱ መሥዋዕተ ስብሐት ፤ ወይንግሩ ግብሮ በትፍሥሕት ።
65	tigrinya	ኣነ ሕጂ ልቓሐይ ክመልስ ጥራይ ዘይኰነ እንተላይ ክዕረቕ የ መጺአ ዘለኹ ።
66	tigre	ሐቆ እለመ ሰዳይት ዐመቱ እንዴ ኢትትፈንተዩ ወድ ሰነት ክም በጽሐ እት ሰይደልየት ሓሉ ሽቅል አንበተ ።
67	geez	ወአበሴሎምሰ ተኀጥአ ወሖረ ውስተ ጌዶሶር ወነበረ ህየ ፫ዓመተ ።
68	geez	ወይወስዱ ለንጉሥ ደናግለ ድኅሬሃ ፤ ወቢጻሂ ይወስዱ ለከ ።
69	tigrinya	እቲ ምንታይ ፡ ኣብ ኣእምሮ ዝተኸዘነ ሓያል ዝኽሪ ኣሎ ።
70	tigrinya	ምጽዋር ዝሰኣነቶ ስስዐ በዓል ቤታ ኣንጸርጸራ ።
71	amharic	ልጆቹ ወደ ቤት በእግራቸው መሄድ ነበረባቸው ።
72	amharic	የፖለቲካ ትልቁ ጥቅም ሽፋን መስጠቱ ነው ፖለቲከኞቻችን ትልልቅ ነገር እየተናገሩ ይማርኩናል ።
