1	tigre	እብ ዓመት እትለ ምዴርየት ምደርስ ወ ደረሰ ህለው እግልነ ።
2	geez	ወለአከ ወአምጽእዎ ወቀይሕ ውእቱ ወላሕይ አዕይንቲሁ ወሠናይ ራእዩ ለእግዚአብሔር ወይቤሎ እግዚአብሔር ለሳሙኤል ተንሥእ ወቅብኦ ለዳዊት እስመ ውእቱ ይኄይሶሙ ።
3	geez	ወገብረ ንጉሥ ኪያሁ ዕፀ ጽሩበ መሳውቃተ ለቤተ እግዚአብሔር ወለቤተ ንጉሥ ወለመዝሙር ወለመሰንቆ ዘማሕልይ ወአልቦ አመ መጽአ ዘከማሁ ዕፀ ጽሩበ በዲበ ምድር ወኢያስተርአየ ወኢበአይቴሂ በውስተ ምድር ዘከማሁ እስከ ይእቲ ዕለት ።
4	blin	እንቍርቍራ ይስተው ወንቀሪ ተማሲልሰና ኣኾ ስኵራ ጋ ብ ፣ እማ ኣኻ ኣዳምክ ስዳዋዅድ አርዶሉ ገረሰጋ ሕብረ ወሪ ይኸ ንሽቃ ስቱሩዅ ሻው ግን ።
5	blin	ኣዋኺነ ክራውል ሕበርሰናዅን ፧
6	amharic	የከባቢ አየር ለውጥ ትኩረት እንዲያገኝ የሚወተውቱ አራማጆች በበርሊን ከተማ ከመራሒተ መንግሥት አንጌላ ሜርክል ፅህፈት ቤት ደጃፍ መጠለያ መገንባት ጀመሩ ።
7	amharic	በአዲስ አበባ ወርሃዊ የጽዳት ዘመቻ ተካሄደ ።
8	tigre	እተ ሱግመ ለልአትሐዝዩ ሓጃት ልትዛቤ ።
9	amharic	በርካቶች በሰጡት አስተያየት የሰሞኑ ግጭት ድንገት የተከሰተ እንዳልሆነ ይልቁንስ ውስጥ ውስጡን ሲብላላ የከረመ መሆኑን ጠቅሰዋል ።
10	amharic	ይህ ሊሆን የቻለው ተማሪዎቹ በ ራሳቸው ስለሚመራመሩ ሰፊ ጥረት ስለሚያደርጉ ነው ።
11	blin	አብሽርኪ ይእቍራ ትምዪ
12	tigrinya	ኣብ መደብ ዓርዮት ክሳብ ዝዀኑ ተማሃሮ ከምዘለዉ ኣቶ ዓጢፍ ዓሊ ሓሰን ይሕብር ።
13	tigre	ለተሀየበቶም ሐብሬ ዲብ ወግም እንዴ ኣተው ህዬ ፡ ድዋራቶም እብ መደጋግ ዛይድ ሐቆለ ታየነው ፡ ሬድዮሆም እንዴ ፈትሐው ምስል መስኡሊኖም ትራከበው ደሀይ ሕድ እግል ልድለው ።
14	tigrinya	ለውጢ ንምምጻእ ፣ ካብ ቲ ናይ ለውጢ ዕላማኻ መበገሲ ዝኾነ ነገር ምእላይ ምሕራም ወይ ምንፋግ ነባሪ ፍታሕ ኣየምጽእን ።
15	blin	ናንታዲ ይአብደት ቍያ ባረለ ቈ ደምቢ ድዊሪኩም ይዅሎም ወንኪራ ።
16	tigrinya	ኢሎም ሓያሎይ በዚ ኣገባብ ዚ ዝተጻሕፉ ቃላት ከም ኣብነት ኣቕሪቦም ኣለዉ ።
17	geez	ይንበር ገብርከሰ ወእሙት ዘሀገርየ ወእትቀበር ውስተ መቃብረ አቡየ ወእምየ ወናሁ ገብርከ መከዓም ይዕዱ ምስለ እግዚእየ ንጉሥ ወግዘር ሎቱ ዘከመ ፈቀድከ በቅድመ አዕይንትከ ።
18	geez	ውእቱ አሚረ ተናገርኮሙ በራእይ ለደቂቅከ ፤ ወትቤ እሬሲ ረድኤተ በላዕለ ኀይል ወአልዐልኩ ኅሩየ እምሕዝብየ ።
19	geez	ወሜጠ ሳሙኤል ገጾ ከመ ይሖር ወአኀዘ ሳኦል ጽንፈ ልብሱ ዘይትዐጸፍ ወተሠጠ ።
20	blin	እንሽውኻ ፡ ኢፋልና ይን ኩት አምነሊካ ።
21	tigre	አዜመ ክምለ እዩድነ ዲብለ እት ሬድዮ መሪናዮ አስመረ ለዐለት ንኢሽ ትራንስሚተር እግል ንትነፈዕ አንበትነ ።
22	blin	ዓፍየትሲ ቋላዅ ፡ ዓቝዲ ፡ ወልወልዲ ፡ ኣዋይን ሞዳዩዲት
